scenario_id,target_name,pair_type,component_i,component_j,family_i,family_j,batch_i,batch_j,proxy_score,gate,attention,pair_strength,target_true
train_69,viscosity,ao_ao,Антиоксидант_1,Антиоксидант_9,Антиоксидант,Антиоксидант,01028.23,03606.23(2023101002),0.0032560424879193306,0.2854112386703491,0.00437695998698473,2.6064319610595703,-26.61
train_69,viscosity,ao_mo,Антиоксидант_1,Соединение_молибдена_1,Антиоксидант,Соединение,01028.23,COMP-2023-0003-M,0.0018631215207278728,0.23149792850017548,0.0020673724357038736,3.892918825149536,-26.61
train_69,viscosity,ao_mo,Антиоксидант_9,Соединение_молибдена_1,Антиоксидант,Соединение,03606.23(2023101002),COMP-2023-0003-M,0.00017872023454401642,0.04896393045783043,0.0017185144824907184,2.1239500045776367,-26.61
train_69,viscosity,zddp_detergent,Детергент_1,Противоизносная_присадка_1,Детергент,Противоизносная,03203.23,0812.24,0.0003316753136459738,0.5779967904090881,0.00021643584477715194,2.6512980461120605,-26.61
train_69,viscosity,zn_dispersant,Детергент_2,Дисперсант_3,Детергент,Дисперсант,01297.23,01030.23,0.0012795436196029186,0.5001623630523682,0.0010409657843410969,2.4575796127319336,-26.61
train_69,viscosity,zddp_detergent,Детергент_2,Противоизносная_присадка_1,Детергент,Противоизносная,01297.23,0812.24,0.0002912896452471614,0.5428953170776367,0.00018418928084429353,2.91302752494812,-26.61
train_69,viscosity,zn_dispersant,Дисперсант_2,Дисперсант_3,Дисперсант,Дисперсант,01025.23,01030.23,2.006237030029297,0.6575130224227905,0.7833474278450012,3.8951432704925537,-26.61
train_69,viscosity,antiwear_ca_mg,Дисперсант_2,Противоизносная_присадка_1,Дисперсант,Противоизносная,01025.23,0812.24,0.2935037314891815,0.5725398063659668,0.20243822038173676,2.532301664352417,-26.61
train_69,viscosity,zn_dispersant,Дисперсант_3,Противоизносная_присадка_1,Дисперсант,Противоизносная,01030.23,0812.24,0.0005108074983581901,0.04462027922272682,0.004609857685863972,2.483347177505493,-26.61
train_70,viscosity,ao_ao,Антиоксидант_1,Антиоксидант_9,Антиоксидант,Антиоксидант,01028.23,03606.23(2023101002),0.010876098647713661,0.28507092595100403,0.014627614989876747,2.6082346439361572,-25.66
train_70,viscosity,ao_mo,Антиоксидант_1,Соединение_молибдена_1,Антиоксидант,Соединение,01028.23,COMP-2023-0003-M,0.006222293246537447,0.2314019650220871,0.0069032940082252026,3.8951759338378906,-25.66
train_70,viscosity,ao_mo,Антиоксидант_9,Соединение_молибдена_1,Антиоксидант,Соединение,03606.23(2023101002),COMP-2023-0003-M,0.0005966274184174836,0.04892566427588463,0.005736161954700947,2.125910997390747,-25.66
train_70,viscosity,zddp_detergent,Детергент_1,Противоизносная_присадка_1,Детергент,Противоизносная,03203.23,0812.24,0.0011090727057307959,0.5777077078819275,0.0007236553356051445,2.652895212173462,-25.66
train_70,viscosity,zn_dispersant,Детергент_2,Дисперсант_10,Детергент,Дисперсант,01297.23,01930.24,0.006255388259887695,0.6082637906074524,0.0032152291387319565,3.1985294818878174,-25.66
train_70,viscosity,zddp_detergent,Детергент_2,Противоизносная_присадка_1,Детергент,Противоизносная,01297.23,0812.24,0.0009735352941788733,0.5426848530769348,0.0006156524759717286,2.913857936859131,-25.66
train_70,viscosity,zn_dispersant,Дисперсант_10,Дисперсант_2,Дисперсант,Дисперсант,01930.24,01025.23,0.19585923850536346,0.3773803412914276,0.23300084471702576,2.2274465560913086,-25.66
train_70,viscosity,zn_dispersant,Дисперсант_10,Противоизносная_присадка_1,Дисперсант,Противоизносная,01930.24,0812.24,0.022317223250865936,0.2642718553543091,0.05792451649904251,1.4578969478607178,-25.66
train_70,viscosity,antiwear_ca_mg,Дисперсант_2,Противоизносная_присадка_1,Дисперсант,Противоизносная,01025.23,0812.24,0.9812577366828918,0.5724818706512451,0.677253007888794,2.5308732986450195,-25.66
train_71,viscosity,ao_ao,Антиоксидант_1,Антиоксидант_9,Антиоксидант,Антиоксидант,01028.23,03606.23(2023101002),0.00793765764683485,0.28507092595100403,0.010675611905753613,2.6082346439361572,-26.04
train_71,viscosity,ao_mo,Антиоксидант_1,Соединение_молибдена_1,Антиоксидант,Соединение,01028.23,COMP-2023-0003-M,0.004541190806776285,0.2314019650220871,0.005038202740252018,3.8951759338378906,-26.04
train_71,viscosity,ao_mo,Антиоксидант_9,Соединение_молибдена_1,Антиоксидант,Соединение,03606.23(2023101002),COMP-2023-0003-M,0.000435434136306867,0.04892566427588463,0.004186399281024933,2.125910997390747,-26.04
train_71,viscosity,zddp_detergent,Детергент_1,Противоизносная_присадка_1,Детергент,Противоизносная,03203.23,0812.24,0.0008094299701042473,0.5777077078819275,0.0005281423800624907,2.652895212173462,-26.04
train_71,viscosity,zn_dispersant,Детергент_2,Дисперсант_11,Детергент,Дисперсант,01297.23,02688.24,0.009792384691536427,0.5526455044746399,0.005804704036563635,3.0525426864624023,-26.04
train_71,viscosity,zddp_detergent,Детергент_2,Противоизносная_присадка_1,Детергент,Противоизносная,01297.23,0812.24,0.0007105112308636308,0.5426848530769348,0.0004493190790526569,2.913857936859131,-26.04
