model_type,config_id,fold,n_features,rmse,mae,r2,target_name,dataset_name
pls,ncomp_7,4,,85.29956292705239,55.017040776378465,-7.443561214472481,viscosity,viscosity_focus
pls,ncomp_7,5,,106.40760517577233,92.1543328236563,-7.314790727863953,viscosity,viscosity_focus
pls,ncomp_8,1,,148.48264649541989,130.74362545999546,-30.57190558969312,viscosity,viscosity_focus
pls,ncomp_8,2,,49.30640810291323,40.319372256215274,-4.459417973054751,viscosity,viscosity_focus
pls,ncomp_8,3,,440.1416158503114,270.57803752910667,-0.5291469617610225,viscosity,viscosity_focus
pls,ncomp_8,4,,74.95638979906623,44.784863159664646,-5.520026585960154,viscosity,viscosity_focus
pls,ncomp_8,5,,95.14503284993799,82.73011887257276,-5.647804296679262,viscosity,viscosity_focus
pls,ncomp_9,1,,164.03550157128836,144.38735123609075,-37.53231464664304,viscosity,viscosity_focus
pls,ncomp_9,2,,47.8130945154796,39.99654495455164,-4.133733481027318,viscosity,viscosity_focus
pls,ncomp_9,3,,441.82553124970553,272.7874718094558,-0.5408699150872662,viscosity,viscosity_focus
pls,ncomp_9,4,,79.27649320053857,50.581439435220986,-6.293246735777021,viscosity,viscosity_focus
pls,ncomp_9,5,,91.38674193854322,75.09168182313265,-5.132991656938191,viscosity,viscosity_focus
pls,ncomp_10,1,,171.3438081369894,155.46487547168414,-41.04227668442938,viscosity,viscosity_focus
pls,ncomp_10,2,,70.74922902355001,57.23186157465337,-10.240432871950333,viscosity,viscosity_focus
pls,ncomp_10,3,,442.8523523609023,273.557069380145,-0.5480403305270265,viscosity,viscosity_focus
pls,ncomp_10,4,,78.23725359024453,50.506944017971016,-6.103284969872776,viscosity,viscosity_focus
pls,ncomp_10,5,,99.64793114578985,83.10690404466918,-6.291931126083995,viscosity,viscosity_focus
pls,ncomp_11,1,,117.9042167396733,105.02064825618528,-18.90710335438593,viscosity,viscosity_focus
pls,ncomp_11,2,,73.11588656634531,64.7567993923628,-11.005026249140633,viscosity,viscosity_focus
