feature,component_1,component_2,component_3,component_4,component_5,component_6,component_7,component_8
catdose__antiwear__разветвленность_радикала___радикалов__mixed,-0.0959384684119635,0.10341241086866336,-0.048320009083429157,-0.07081978685355828,0.11516758540918386,-0.040500615469202084,0.05320451650908295,-0.11709042189486857
base_oil__deem_oil_ml__max,0.018241894196849674,0.06431369499692688,0.0192834579158561,-0.17302193875735447,-0.03519664622294503,0.1810544346799961,0.0674086742665863,-0.1029333733673064
base_oil__kv40__max,-0.010108822907092764,0.15084877140365485,-0.0747623781237726,0.054533247814085375,0.13632215053392135,0.004358004401887302,-0.053358825951860374,0.0853967813007728
interaction__biofuel_x_ao,-0.10229609871760457,0.019413266802010457,-0.010949132760088272,-0.010725894428417527,-0.11532878383082587,0.21597794286000505,-0.12707851852868157,0.14878210656806687
base_oil__deem_time_min__max,0.01822104871188174,0.04980245281945252,-0.01977705148584993,0.09883727538979499,0.04129003804689514,-0.008763495032345364,-0.0029693911897616643,-0.050257619567452776
base_oil__sulfur_mgkg__max,0.07733937588846221,0.13525170552104696,0.017601702268378715,-0.031194979891014205,0.1241316311134572,0.09658504251205821,-0.04228227261605982,0.09417913309083396
antiwear__chain_length__max,-0.12590362623354978,0.029387971198761183,0.044936504585190475,-0.0006200087100660639,-0.08755740944503453,0.07710945344661174,0.018805094153588282,0.020261288419420202
antiwear__chain_length__wm,-0.12608411412769954,0.028554434748690623,0.046397419820758665,0.00015331102995282066,-0.09016688695321418,0.0775626325216359,0.019215858470836417,0.01783306331676893
base_oil__ccs_m15__wm,0.027636289728434228,0.13022813898399285,-0.03225385964744214,-0.0979740795173032,0.08806402627830778,0.10642416931203995,-0.09329680895391987,0.01859200703994462
base_oil__ccs_m35__wm,0.02160723371224289,0.03631353631847459,-0.02385102109566516,-0.06463161597172842,0.08483085295389109,0.20306408677863502,0.11437382471868325,0.2340867230397068
base_oil__ccs_m20__wm,0.07011265213546995,0.10319978063706235,-0.06643214441450533,-0.0548798514517519,0.10476890164394902,0.06873448859353848,-0.03955747862111316,0.02483404142701463
catdose__antiwear__тип_спиртового_радикала__secondary,0.05819110556675399,-0.015935840427407776,0.15540319975545722,-0.01919156597063177,0.012543654451549773,-0.06464653259153719,-0.0025984550918784414,-0.11691273179846336
catdose__base_oil__группа_по_api__1,0.060731739819073385,0.130569086817749,-0.010767555395007986,-0.0287890845808371,0.12391173822777835,0.09052501318792591,-0.023696306233334977,0.06430629364198581
textnum__base_oil__происхождение__text_length__wm,-0.057263414709105294,-0.12193965845839812,0.03697086087528734,0.03756999574493837,-0.11875672476110614,-0.09292368934536777,0.0031814966825096064,-0.012169634011302388
base_oil__pour_point_c__max,0.0667119113544151,0.03082904713915187,-0.07251125290469605,0.17054820833177978,0.060007077571305245,0.08809323781668572,0.09332894238890908,0.17184604780000698
antioxidant__ionization_ev__max,0.15637816071759653,-0.018949439223264912,-0.008965741566578636,0.07567800372212133,-0.08303051069103014,0.08675894331521569,-0.06283580640421182,-0.045939386370761115
textnum__base_oil__происхождение__origin_is_hydrocracking__wm,-0.05909518638902045,-0.1250531503932566,0.03332661149937545,0.050517635638814756,-0.12697205198544037,-0.08264299084676892,-0.02324172175292297,-0.02064888737556343
antioxidant__lumo_ev__max,0.1452007690794223,-0.0097566704416044,0.046063618569317864,0.08198188455849294,-0.09721439204869403,0.1202894903150076,-0.08773863060936384,-0.013090387033890248
base_oil__ccs_m25__wm,0.06527560168576332,0.10341609703965372,-0.046950630423996983,-0.018597229251774754,0.10470840413549169,0.0710086681323894,0.022605061159230437,0.04643346950717668
base_oil__sulfur_mgkg__wm,0.06480335385482791,0.1252766128794834,-0.014182468665683828,-0.07367780001310273,0.118230048729499,0.11385021499211127,-0.021234528559212398,0.008857903886796492
catcount__base_oil__группа_по_api__3,0.09904593338589505,-0.02988710967552082,0.020209430026871707,-0.003695483115502808,-0.07584474278333098,0.0037691705212589415,0.11745814677868227,-0.09943564708525539
textnum__base_oil__происхождение__origin_is_mineral__wm,0.05876736030907437,0.1239406997491011,-0.030574136512110182,-0.05648542424060203,0.12861696687397423,0.07513468565756688,0.03722238874295136,0.024837683286524977
catdose__antiwear__разветвленность_радикала___радикалов__single,0.053640614373720856,-0.02315477840692769,0.14885237654459002,-0.028612935791416518,-0.015199922552727821,-0.02008539110012825,-0.026091919631985636,-0.11717506410656284
textnum__detergent__номер_cas__cas_count__wm,0.07641694030819685,0.02078165894888871,0.17284810531533,-0.08184011873041815,-0.0456886141866546,0.058829635631271984,0.03276216634914608,0.06565814702303575
textnum__detergent__номер_cas__cas_count__max,0.07828013819621277,0.005634769857349176,0.14845782245262734,-0.09319945950294625,-0.09790292505618785,0.10643045198618323,-0.028093759822875434,-0.0015257404849182842
detergent__tbn_gost__wm,0.0033436410232031985,0.03618625209402394,0.006990381201887574,0.05260677479328105,0.03945652131220383,0.02140635701083337,-0.06454055176487923,-0.06607528555002275
textnum__antiwear__тип_спиртового_радикала__radical_is_primary__wm,0.030086788886061436,0.0028794199361017406,-0.12203398435506306,0.1481325032125353,-0.13831410733126318,0.12761524556969644,0.03202424393546331,-0.0738772927866015
textnum__detergent__класс_субстрата__substrate_is_sulfonate__wm,-0.1092493484688315,-0.021304985370801194,-0.09603823197079267,0.08654174639696822,-0.016589631738455166,-0.062139214070019703,-0.11927535343070966,-0.05779459950651216
antioxidant__steric_factor__wm,-0.13288734762084833,-0.02452487381824016,-0.0765704606510927,-0.13153461714957967,-0.07126978676507723,0.05796153596783837,0.0025226226389291053,-0.03455393508330454
textnum__antiwear__тип_спиртового_радикала__radical_is_mixed__max,-0.1299793014777544,0.07146655618988391,0.010081641746273113,-0.2279273056340659,0.07565288160604751,-0.07725178206538699,0.00032287681843541123,-0.07309698219593062
textnum__antiwear__тип_спиртового_радикала__radical_is_mixed__wm,-0.13166467134405369,0.07091682971669207,0.0124296825774877,-0.22868265441979949,0.07221439945488639,-0.07701610516319161,0.0009791606221800817,-0.0772063943627693
