component,rank,feature,abs_weight,weight,loading
component_4,3,textnum__antiwear__тип_спиртового_радикала__radical_is_mixed__max,0.2279273056340659,-0.2279273056340659,-0.2942593631803653
component_4,4,catcount__antiwear__тип_спиртового_радикала__mixed,0.2279273056340659,-0.2279273056340659,-0.2942593631803653
component_4,5,catdose__antiwear__тип_спиртового_радикала__mixed,0.22748865787798306,-0.22748865787798306,-0.29100056679640085
component_4,6,temperature_c,0.21496610907698344,-0.21496610907698344,-0.15380784509858153
component_4,7,temperature_x_time,0.2137941691081874,0.2137941691081874,0.24007824923813173
component_4,8,severity_exp,0.20256266162171194,-0.20256266162171194,-0.1342087475403549
component_4,9,textnum__antiwear__разветвленность_радикала___радикалов__branching_has_ethylhexyl__max,0.19545160525834754,0.19545160525834754,0.2210849699054745
component_4,10,catdose__antiwear__тип_спиртового_радикала__primary,0.18550302748345046,0.18550302748345046,0.1587649322022731
component_4,11,base_oil__deem_oil_ml__max,0.17302193875735447,-0.17302193875735447,-0.13228432511234875
component_4,12,base_oil__pour_point_c__max,0.17054820833177978,0.17054820833177978,0.1468512487205801
component_4,13,textnum__antiwear__тип_спиртового_радикала__radical_is_primary__max,0.16263618204190783,0.16263618204190783,0.24698245673773545
component_4,14,textnum__antiwear__тип_спиртового_радикала__radical_is_primary__wm,0.1481325032125353,0.1481325032125353,0.2539377629177798
component_4,15,detergent__tbn_astm__wm,0.14227394179005343,-0.14227394179005343,-0.10112439966962201
component_5,1,family_total_dose__antiwear,0.26565393975903717,0.26565393975903717,0.16677480329692568
component_5,2,biofuel_x_catalyst,0.21836341847359989,-0.21836341847359989,-0.057278664707328814
component_5,3,temperature_x_biofuel,0.16507802183217643,-0.16507802183217643,-0.06110500340724516
component_5,4,biofuel_pct,0.14947681620644196,-0.14947681620644196,-0.059233328045344466
component_5,5,catcount__base_oil__группа_по_api__1,0.14370441200161924,0.14370441200161924,0.1893932418551119
component_5,6,textnum__antiwear__тип_спиртового_радикала__radical_is_primary__wm,0.13831410733126318,-0.13831410733126318,-0.008508381035075618
component_5,7,base_oil__kv40__max,0.13632215053392135,0.13632215053392135,0.10327072119228502
component_5,8,antiwear__sulfur_pct__max,0.13126035181096965,0.13126035181096965,-0.020308346896786515
component_5,9,textnum__base_oil__происхождение__origin_is_mineral__wm,0.12861696687397423,0.12861696687397423,0.19475437329594067
component_5,10,textnum__base_oil__происхождение__origin_is_hydrocracking__wm,0.12697205198544037,-0.12697205198544037,-0.19669599844984426
component_5,11,antiwear__sulfur_pct__wm,0.12425576905888203,0.12425576905888203,-0.025144716131804214
component_5,12,base_oil__sulfur_mgkg__max,0.1241316311134572,0.1241316311134572,0.15538542968291255
component_5,13,catdose__base_oil__группа_по_api__1,0.12391173822777835,0.12391173822777835,0.1785973836641157
component_5,14,textnum__base_oil__происхождение__text_length__wm,0.11875672476110614,-0.11875672476110614,-0.1921482781325394
component_5,15,base_oil__sulfur_mgkg__wm,0.118230048729499,0.118230048729499,0.2073809769933284
component_6,1,biofuel_x_catalyst,0.26008898700043454,0.26008898700043454,0.16637338816704467
component_6,2,base_oil__ccs_m35__max,0.21872119431360013,0.21872119431360013,0.23697583240411396
component_6,3,interaction__biofuel_x_ao,0.21597794286000505,0.21597794286000505,0.15026443238128087
component_6,4,base_oil__ccs_m35__wm,0.20306408677863502,0.20306408677863502,0.271903362367351
component_6,5,base_oil__deem_oil_ml__max,0.1810544346799961,0.1810544346799961,0.2156451908989297
component_6,6,temperature_x_biofuel,0.17717571709159832,0.17717571709159832,0.1313987593564441
component_6,7,biofuel_pct,0.1617220915070004,0.1617220915070004,0.12525712973952202
component_6,8,antiwear__sulfur_pct__max,0.15707918591015368,-0.15707918591015368,-0.1906676323752864
