feature,component_1,component_2,component_3,component_4,component_5,component_6,component_7,component_8
polymer__weight_avg_mw__count,-0.04628872035449491,0.1228263357592113,-0.14743364311138824,0.07494788304496953,-0.1010787613639425,-0.07382024626446507,-0.026842503571208532,0.29356063340431904
catcount__polymer__соотношение_мономеров_(eo:po)__eo_po_ratio,-0.04628872035449491,0.1228263357592113,-0.14743364311138824,0.07494788304496953,-0.1010787613639425,-0.07382024626446507,-0.026842503571208532,0.29356063340431904
textnum__polymer__соотношение_мономеров_(eo:po)__has_text_value__count,-0.04628872035449491,0.1228263357592113,-0.14743364311138824,0.07494788304496953,-0.1010787613639425,-0.07382024626446507,-0.026842503571208532,0.29356063340431904
textnum__polymer__соотношение_мономеров_(eo:po)__text_length__count,-0.04628872035449491,0.1228263357592113,-0.14743364311138824,0.07494788304496953,-0.1010787613639425,-0.07382024626446507,-0.026842503571208532,0.29356063340431904
textnum__antiwear__тип_спиртового_радикала__radical_is_primary__max,0.02403091924355964,0.05797569766747453,-0.1689780327185865,0.24698245673773545,0.0006312200090572011,0.11582085584830663,0.06035872610370233,-0.2922144237147551
detergent__metal_content_pct__wm,-0.04520700223493061,0.09751509727308187,0.08735132042211066,-0.09466267321524319,-0.0629833078801852,-0.07728003276496517,-0.0753866733361603,0.003641026006548725
detergent__water_pct__wm,-0.09643795627329625,0.03868476865180177,-0.07022388491836994,0.043752362200993745,-0.07766263732674682,-0.15920047108006755,-0.04421896058865453,0.13694514775314082
antioxidant__melting_point_c__count,0.11770726003715087,-0.060480726536852374,0.06417610668297005,0.1043847055930451,0.06574177823453327,0.045844823590382076,-0.039584928725790954,0.0005792391053688326
textnum__detergent__smiles_для_наиболее_вероятной_(средней)_молекулы_сульфокислоты__smiles_s_count__wm,-0.11867314911655408,0.0320320433006316,-0.15068029454397164,0.11017715744451612,-0.08125738052692383,-0.11773367083267236,-0.010017689468144995,0.015058297635689093
antiwear__chain_length__count,-0.06164325872900987,0.12005086188181699,-0.07571925896976789,-0.039816820698000056,0.05912172754242667,0.017363773404482877,0.0719449066275326,-0.35192937231931415
catcount__antiwear__разветвленность_радикала___радикалов__mixed,-0.05545167952879771,0.12026154219277105,-0.07574822052284703,-0.04396026927730468,0.05351639152626918,0.01359414109898401,0.06937486243715828,-0.3215066392885351
catdose__antiwear__тип_спиртового_радикала__primary,0.0385158045729843,0.09107745078836563,-0.150462352351176,0.1587649322022731,0.10832489156058181,0.1027261432768597,0.11932146116347145,-0.2587684066367224
textnum__base_oil__происхождение__origin_is_mineral__max,0.12269347847790521,0.08597402561839353,0.07328699952371008,-0.1033779674952194,0.11787486442330598,0.06677047314054887,-0.04542742456455727,0.08807508739874464
textnum__antioxidant__номер_cas___smiles__text_length__max,0.08650634154013397,-0.07420508519014166,0.05059865492040867,0.17044088275925687,-0.08429826524955362,0.05184656902290556,-0.13772951331531783,0.18591406110429207
