model_name,fold,rmse,mae,r2,feature_set,experiment_type
standalone_pls__chem8_core_mo_zddp,,34.42996880344281,27.981481244665897,0.08547176119057343,chem8_core_mo_zddp,standalone
standalone_mlp__chem8_core_mo_zddp,1.0,40.240612511102,31.831901963207002,-1.368538739569332,chem8_core_mo_zddp,standalone
standalone_mlp__chem8_core_mo_zddp,2.0,24.227279770776306,16.73857406886104,0.6601947182424716,chem8_core_mo_zddp,standalone
standalone_mlp__chem8_core_mo_zddp,3.0,42.067019166927544,36.09399351045196,-0.21886690172430678,chem8_core_mo_zddp,standalone
standalone_mlp__chem8_core_mo_zddp,4.0,30.351833879999685,27.360491355827165,0.02799582330206596,chem8_core_mo_zddp,standalone
standalone_mlp__chem8_core_mo_zddp,5.0,30.449350250338757,25.06123634092941,-3.235822077168897,chem8_core_mo_zddp,standalone
standalone_mlp__chem8_core_mo_zddp,,34.471262737979906,27.816558395731608,0.08327674811680186,chem8_core_mo_zddp,standalone
addon_ridge__chem8_core_mo_zddp,1.0,27.012297052240463,19.638280299147855,-0.06727014549824517,chem8_core_mo_zddp,addon
addon_ridge__chem8_core_mo_zddp,2.0,25.543523735898376,18.46271765332717,0.6222691705548603,chem8_core_mo_zddp,addon
addon_ridge__chem8_core_mo_zddp,3.0,37.78125535163596,33.05698382176818,0.016836893084467897,chem8_core_mo_zddp,addon
addon_ridge__chem8_core_mo_zddp,4.0,27.132311051647722,21.594590313397134,0.2232668647132925,chem8_core_mo_zddp,addon
addon_ridge__chem8_core_mo_zddp,5.0,29.824127269226384,18.194994755387995,-3.0636578838683377,chem8_core_mo_zddp,addon
addon_ridge__chem8_core_mo_zddp,,30.054843878929905,22.513198074613317,0.30312832194669315,chem8_core_mo_zddp,addon
standalone_ridge__chem10_balanced,1.0,41.08809679896657,33.484170254135634,-1.4693541360779756,chem10_balanced,standalone
standalone_ridge__chem10_balanced,2.0,35.51065026160485,27.430270120445645,0.26997443980986324,chem10_balanced,standalone
standalone_ridge__chem10_balanced,3.0,43.39859712775317,36.782528519923886,-0.2972515172285055,chem10_balanced,standalone
standalone_ridge__chem10_balanced,4.0,34.07039607854552,30.196282875205323,-0.22476459286260386,chem10_balanced,standalone
standalone_ridge__chem10_balanced,5.0,22.435924920132013,16.16248323624278,-1.2996916377834005,chem10_balanced,standalone
standalone_ridge__chem10_balanced,,36.23833343850756,29.035178693353416,-0.013118615245677478,chem10_balanced,standalone
standalone_pls__chem10_balanced,1.0,38.22582514064279,30.706957802641092,-1.1372979288541316,chem10_balanced,standalone
standalone_pls__chem10_balanced,2.0,30.437688326284572,22.70106252885122,0.46365510978198743,chem10_balanced,standalone
standalone_pls__chem10_balanced,3.0,44.46648666962604,37.14624690229708,-0.36187873594903763,chem10_balanced,standalone
standalone_pls__chem10_balanced,4.0,34.354009239631445,30.263681805188412,-0.24524014727786692,chem10_balanced,standalone
standalone_pls__chem10_balanced,5.0,24.10155172525152,18.377725561490795,-1.6538212000922279,chem10_balanced,standalone
standalone_pls__chem10_balanced,,35.33149256051333,28.168878704450822,0.036952228742472615,chem10_balanced,standalone
standalone_mlp__chem10_balanced,1.0,45.02239192471999,37.33244361145626,-1.9648891151768897,chem10_balanced,standalone
standalone_mlp__chem10_balanced,2.0,37.63597922934616,28.688254748423404,0.1799746910973269,chem10_balanced,standalone
standalone_mlp__chem10_balanced,3.0,43.6298567345663,37.66990126741879,-0.3111137713523806,chem10_balanced,standalone
standalone_mlp__chem10_balanced,4.0,34.36875640753802,30.65162511368203,-0.24630946683941168,chem10_balanced,standalone
standalone_mlp__chem10_balanced,5.0,32.62841560500556,27.692746778503462,-3.863776622766558,chem10_balanced,standalone
standalone_mlp__chem10_balanced,,39.084649813912584,32.58934446755124,-0.17851824976715625,chem10_balanced,standalone
addon_ridge__chem10_balanced,1.0,26.993914629364188,19.64351583450498,-0.06581804125625124,chem10_balanced,addon
addon_ridge__chem10_balanced,2.0,27.004187880056907,19.100408374146777,0.5778341902079753,chem10_balanced,addon
addon_ridge__chem10_balanced,3.0,37.64771231130342,33.089925748806955,0.023774860064751824,chem10_balanced,addon
addon_ridge__chem10_balanced,4.0,27.38908641269319,22.04423898642487,0.20849556924499568,chem10_balanced,addon
addon_ridge__chem10_balanced,5.0,29.796188350261414,18.209757669420494,-3.0560478687629935,chem10_balanced,addon
addon_ridge__chem10_balanced,,30.284898168134763,22.730548832923635,0.2924191067449362,chem10_balanced,addon
