component,rank,feature,abs_weight,weight,loading
component_3,1,textnum__antiwear__тип_спиртового_радикала__radical_is_secondary__wm,0.4426933161356275,0.4426933161356275,0.3810695690339785
component_3,2,antioxidant__bde_xh_kcal__wm,0.3052333431438647,-0.3052333431438647,-0.28554061888000276
component_3,3,base_oil__kv100__wm,0.2963734382082137,-0.2963734382082137,-0.2593790052793009
component_3,4,base_oil__kv40__wm,0.2746991674293633,-0.2746991674293633,-0.27917364209133744
component_3,5,antiwear_severity,0.2744740399229762,-0.2744740399229762,-0.34000413857124767
component_3,6,temperature_x_time,0.25683111911107037,0.25683111911107037,0.26004979621988683
component_3,7,antioxidant__ionization_ev__wm,0.2449065065907185,0.2449065065907185,0.23442448645757838
component_3,8,severity_x_biofuel,0.24132679648991257,-0.24132679648991257,-0.2987307857648611
component_3,9,base_oil_visc_ratio,0.2320475118213367,-0.2320475118213367,-0.28880272712079036
component_3,10,time_h,0.21505199781159684,0.21505199781159684,0.25355423696373924
component_3,11,regime_load,0.19306219385997156,-0.19306219385997156,-0.35618599782983246
component_3,12,temperature_x_biofuel,0.1568438515268298,-0.1568438515268298,-0.18280412864094422
component_3,13,antiwear__sulfur_pct__wm,0.15292905533578596,0.15292905533578596,0.15031694937530432
component_3,14,interaction__biofuel_x_zddp,0.14662126678173548,0.14662126678173548,-0.13875547893735118
component_3,15,biofuel_pct,0.14595889457031785,-0.14595889457031785,-0.16988313017300652
component_4,1,severity_x_catalyst,0.47160352455851046,0.47160352455851046,0.4196590474636717
component_4,2,base_oil__pour_point_c__max,0.3881515302653883,0.3881515302653883,0.3347050503252991
component_4,3,interaction__biofuel_x_zddp,0.3183058411581562,0.3183058411581562,0.10468155941071106
component_4,4,catalyst_category,0.27476964916111696,0.27476964916111696,0.4454908172439263
component_4,5,base_oil__ccs_m35__wm,0.2661169899144273,0.2661169899144273,0.4394030405335456
component_4,6,regime_load,0.252059215457952,0.252059215457952,0.4179079497403888
component_4,7,family_total_dose__antiwear,0.20454726186579142,0.20454726186579142,-0.17808740271401968
component_4,8,catcount__base_oil__группа_по_api__1,0.20021423306427666,0.20021423306427666,0.17235040056829126
component_4,9,antiwear__chain_length__wm,0.18047449978984986,0.18047449978984986,0.17534824504569343
component_4,10,severity_x_biofuel,0.17676190330699817,0.17676190330699817,0.36294867291568156
component_4,11,temperature_x_biofuel,0.137568844718663,0.137568844718663,0.21239053193289945
component_4,12,biofuel_pct,0.13444268591657726,0.13444268591657726,0.19967270451378968
component_4,13,antiwear__sulfur_pct__wm,0.12876747897957605,-0.12876747897957605,-0.19904223273551527
component_4,14,textnum__antiwear__тип_спиртового_радикала__radical_is_mixed__wm,0.11802106401540034,-0.11802106401540034,-0.1281628771557408
component_4,15,antioxidant__bde_xh_kcal__wm,0.11263306710677504,-0.11263306710677504,-0.1575861448516717
component_5,1,family_total_dose__antiwear,0.5642960665063654,0.5642960665063654,0.5402222545414531
component_5,2,interaction__biofuel_x_zddp,0.38032936045899907,0.38032936045899907,0.25816688706494395
component_5,3,textnum__antiwear__тип_спиртового_радикала__radical_is_mixed__wm,0.338803226655765,0.338803226655765,0.37683862904136484
component_5,4,catalyst_category,0.25575000486080307,-0.25575000486080307,-0.2490921846783499
component_5,5,antiwear_severity,0.22947575557106112,0.22947575557106112,0.5019679684997965
component_5,6,time_h,0.1985710664790619,-0.1985710664790619,-0.15561582275731475
component_5,7,temperature_x_time,0.18908501453478618,-0.18908501453478618,-0.11393966012951844
component_5,8,severity_x_biofuel,0.16245366027775385,-0.16245366027775385,-0.08063574494841481
component_5,9,antiwear__sulfur_pct__wm,0.1569648989303417,0.1569648989303417,0.16736744556567104
component_5,10,base_oil__pour_point_c__max,0.15165696238245982,-0.15165696238245982,-0.28545382288055166
component_5,11,temperature_c,0.14730726047195591,0.14730726047195591,0.21361672751933666
component_5,12,severity_exp,0.13307512440170688,0.13307512440170688,0.2119859134741789
component_5,13,base_oil__ccs_m35__wm,0.11918570917874585,-0.11918570917874585,0.012533598753523258
component_5,14,severity_x_catalyst,0.11657182468248066,0.11657182468248066,0.04854579440877499
component_5,15,temperature_x_biofuel,0.11588576631569641,-0.11588576631569641,-0.14664216552390003
component_6,1,detergent__tbn_astm__wm,0.47226994271705985,0.47226994271705985,0.5362282865420259
component_6,2,antiwear_severity,0.3672757180406083,0.3672757180406083,0.06625564788304285
component_6,3,regime_load,0.3470204547686025,0.3470204547686025,0.4681235121581135
component_6,4,base_oil__pour_point_c__max,0.3204096227489222,-0.3204096227489222,-0.555046707293588
component_6,5,base_oil__ccs_m35__wm,0.2780713994881039,0.2780713994881039,0.20619352504429983
component_6,6,textnum__antiwear__тип_спиртового_радикала__radical_is_mixed__wm,0.2690206827112916,0.2690206827112916,0.38762141685301954
component_6,7,textnum__antiwear__тип_спиртового_радикала__radical_is_secondary__wm,0.23562501845343944,0.23562501845343944,-0.017488747697570174
component_6,8,severity_x_biofuel,0.20977528255825278,0.20977528255825278,0.27679919614451687
component_6,9,severity_exp,0.18618786942317253,0.18618786942317253,0.25721056061049546
component_6,10,temperature_x_time,0.17584016701762709,0.17584016701762709,0.30733800742374673
component_6,11,temperature_c,0.15427629692250436,0.15427629692250436,0.20739563483229972
component_6,12,interaction__biofuel_x_zddp,0.13343645514015712,-0.13343645514015712,-0.009218854771483643
component_6,13,antiwear__chain_length__wm,0.1153917069795465,0.1153917069795465,-0.2327089671937133
component_6,14,family_total_dose__antiwear,0.11157324110706687,-0.11157324110706687,-0.1419272098373383
component_6,15,time_h,0.10282695380375853,0.10282695380375853,0.19557773190427777
component_7,1,antiwear_severity,0.4113128202631204,0.4113128202631204,0.08823897088152852
