rmse,mae,r2,target_name,config_id,hidden_layers,activation,alpha,learning_rate_init,fold,n_selected_features
57.842946151527464,34.59730368357919,0.6675912592301725,viscosity,relu_deep,"(256, 128)",relu,0.001,0.0005,2,28
244.88177543871265,67.90369145446836,0.4100208761596783,viscosity,relu_deep,"(256, 128)",relu,0.001,0.0005,3,29
142.0280420028688,62.21104388709757,0.5750347779926461,viscosity,relu_deep,"(256, 128)",relu,0.001,0.0005,4,28
94.54663728900523,49.10362630144137,0.28831677352892404,viscosity,relu_deep,"(256, 128)",relu,0.001,0.0005,5,28
26.023022581059802,19.95737432287982,0.47495760630662676,oxidation,relu_small,"(64, 32)",relu,0.0001,0.001,1,30
30.856123132447703,19.71483541540457,-0.06187689098730176,oxidation,relu_small,"(64, 32)",relu,0.0001,0.001,2,30
29.043658172312238,19.385521484338152,0.4537296217123994,oxidation,relu_small,"(64, 32)",relu,0.0001,0.001,3,30
21.31253872153496,15.944157053441627,0.5810396331062327,oxidation,relu_small,"(64, 32)",relu,0.0001,0.001,4,30
29.51800830112208,20.811012977683447,0.45641018214877105,oxidation,relu_small,"(64, 32)",relu,0.0001,0.001,5,28
21.449121912202703,14.594951011947668,0.6433042544263788,oxidation,relu_mid,"(128, 64)",relu,0.0001,0.001,1,30
24.924962311320474,15.096889570017524,0.3071160964205688,oxidation,relu_mid,"(128, 64)",relu,0.0001,0.001,2,30
15.741459722170047,11.813393769626693,0.8395295675820557,oxidation,relu_mid,"(128, 64)",relu,0.0001,0.001,3,30
21.632155475183588,15.076183345110149,0.5683794023655306,oxidation,relu_mid,"(128, 64)",relu,0.0001,0.001,4,30
20.08090984656248,12.876203795249323,0.7484270253914991,oxidation,relu_mid,"(128, 64)",relu,0.0001,0.001,5,28
24.85452845113375,18.978096464439606,0.5210502509955726,oxidation,relu_wide,"(128, 128)",relu,0.001,0.0005,1,30
26.29916914432015,18.029723066734952,0.22860732905169545,oxidation,relu_wide,"(128, 128)",relu,0.001,0.0005,2,30
18.601854522496748,13.756760293948645,0.7759125651750209,oxidation,relu_wide,"(128, 128)",relu,0.001,0.0005,3,30
27.97101828347106,18.858495465307197,0.2783624478101743,oxidation,relu_wide,"(128, 128)",relu,0.001,0.0005,4,30
22.87399656897582,14.228477456012996,0.6735765764297353,oxidation,relu_wide,"(128, 128)",relu,0.001,0.0005,5,28
24.751822103753035,17.316352051598017,0.525000399803335,oxidation,tanh_mid,"(64, 64)",tanh,0.001,0.001,1,30
23.544764205725322,16.15502447794959,0.38172719730042215,oxidation,tanh_mid,"(64, 64)",tanh,0.001,0.001,2,30
30.94791645863248,23.01896424396696,0.3797484622810192,oxidation,tanh_mid,"(64, 64)",tanh,0.001,0.001,3,30
22.967818924299067,15.441359989604829,0.5134336377412554,oxidation,tanh_mid,"(64, 64)",tanh,0.001,0.001,4,30
23.59641196040901,16.40875301075155,0.6526325251339488,oxidation,tanh_mid,"(64, 64)",tanh,0.001,0.001,5,28
27.151823601916732,20.885295084863234,0.42842016195696353,oxidation,tanh_wide,"(128, 64)",tanh,0.001,0.0005,1,30
29.206298651309897,17.3962123656561,0.04864085906278204,oxidation,tanh_wide,"(128, 64)",tanh,0.001,0.0005,2,30
23.321751383725026,16.292357828476835,0.6477691906921491,oxidation,tanh_wide,"(128, 64)",tanh,0.001,0.0005,3,30
23.17235655235792,15.526567060617753,0.5047289132985853,oxidation,tanh_wide,"(128, 64)",tanh,0.001,0.0005,4,30
19.689351569082742,13.002072788238104,0.7581422325856548,oxidation,tanh_wide,"(128, 64)",tanh,0.001,0.0005,5,28
25.516093497592163,18.920363299169942,0.49521404379940637,oxidation,relu_deep,"(256, 128)",relu,0.001,0.0005,1,30
32.15836823679625,23.776646642985334,-0.15339870517207754,oxidation,relu_deep,"(256, 128)",relu,0.001,0.0005,2,30
25.11588744426745,18.87067282036374,0.5914905812995782,oxidation,relu_deep,"(256, 128)",relu,0.001,0.0005,3,30
24.193445826930564,17.835082267659597,0.46011902009337546,oxidation,relu_deep,"(256, 128)",relu,0.001,0.0005,4,30
25.16818435537183,18.046322583443725,0.6048145146919819,oxidation,relu_deep,"(256, 128)",relu,0.001,0.0005,5,28
